row_type,lane_id,scenario_id,method_id,seed,window_id,metric,value,detail
decoder_window,decoder_syndrome_level_paired,static_gaussian,ewma,20262716202,8,window_ler,0.0,failures=0;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,kalman,20262716202,8,window_ler,0.0,failures=0;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,oracle,20262716202,8,window_ler,0.0,failures=0;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,standard,20262716202,9,window_ler,0.0,failures=0;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,static,20262716202,9,window_ler,0.001953125,failures=1;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,window,20262716202,9,window_ler,0.0,failures=0;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,ewma,20262716202,9,window_ler,0.0,failures=0;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,kalman,20262716202,9,window_ler,0.0,failures=0;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,oracle,20262716202,9,window_ler,0.0,failures=0;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,standard,20262716202,10,window_ler,0.001953125,failures=1;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,static,20262716202,10,window_ler,0.00390625,failures=2;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,window,20262716202,10,window_ler,0.001953125,failures=1;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,ewma,20262716202,10,window_ler,0.001953125,failures=1;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,kalman,20262716202,10,window_ler,0.001953125,failures=1;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,oracle,20262716202,10,window_ler,0.001953125,failures=1;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,standard,20262716202,11,window_ler,0.0,failures=0;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,static,20262716202,11,window_ler,0.001953125,failures=1;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,window,20262716202,11,window_ler,0.0,failures=0;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,ewma,20262716202,11,window_ler,0.0,failures=0;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,kalman,20262716202,11,window_ler,0.0,failures=0;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,oracle,20262716202,11,window_ler,0.0,failures=0;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,standard,20262716202,12,window_ler,0.00390625,failures=2;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,static,20262716202,12,window_ler,0.00390625,failures=2;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,window,20262716202,12,window_ler,0.001953125,failures=1;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,ewma,20262716202,12,window_ler,0.0,failures=0;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,kalman,20262716202,12,window_ler,0.0,failures=0;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,oracle,20262716202,12,window_ler,0.001953125,failures=1;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,standard,20262716202,13,window_ler,0.00390625,failures=2;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,static,20262716202,13,window_ler,0.00390625,failures=2;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,window,20262716202,13,window_ler,0.00390625,failures=2;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,ewma,20262716202,13,window_ler,0.00390625,failures=2;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,kalman,20262716202,13,window_ler,0.00390625,failures=2;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,oracle,20262716202,13,window_ler,0.00390625,failures=2;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,standard,20262716202,14,window_ler,0.005859375,failures=3;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,static,20262716202,14,window_ler,0.0078125,failures=4;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,window,20262716202,14,window_ler,0.005859375,failures=3;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,ewma,20262716202,14,window_ler,0.005859375,failures=3;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,kalman,20262716202,14,window_ler,0.005859375,failures=3;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,oracle,20262716202,14,window_ler,0.005859375,failures=3;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,standard,20262716202,15,window_ler,0.00390625,failures=2;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,static,20262716202,15,window_ler,0.00390625,failures=2;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,window,20262716202,15,window_ler,0.001953125,failures=1;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,ewma,20262716202,15,window_ler,0.001953125,failures=1;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,kalman,20262716202,15,window_ler,0.001953125,failures=1;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,oracle,20262716202,15,window_ler,0.001953125,failures=1;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,standard,20262716202,16,window_ler,0.00390625,failures=2;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,static,20262716202,16,window_ler,0.00390625,failures=2;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,window,20262716202,16,window_ler,0.0,failures=0;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,ewma,20262716202,16,window_ler,0.0,failures=0;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,kalman,20262716202,16,window_ler,0.0,failures=0;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,oracle,20262716202,16,window_ler,0.0,failures=0;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,standard,20262716202,17,window_ler,0.00390625,failures=2;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,static,20262716202,17,window_ler,0.001953125,failures=1;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,window,20262716202,17,window_ler,0.001953125,failures=1;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,ewma,20262716202,17,window_ler,0.001953125,failures=1;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,kalman,20262716202,17,window_ler,0.001953125,failures=1;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,oracle,20262716202,17,window_ler,0.001953125,failures=1;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,standard,20262716202,18,window_ler,0.001953125,failures=1;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,static,20262716202,18,window_ler,0.001953125,failures=1;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,window,20262716202,18,window_ler,0.0,failures=0;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,ewma,20262716202,18,window_ler,0.0,failures=0;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,kalman,20262716202,18,window_ler,0.0,failures=0;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,oracle,20262716202,18,window_ler,0.0,failures=0;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,standard,20262716202,19,window_ler,0.0,failures=0;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,static,20262716202,19,window_ler,0.001953125,failures=1;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,window,20262716202,19,window_ler,0.00390625,failures=2;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,ewma,20262716202,19,window_ler,0.00390625,failures=2;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,kalman,20262716202,19,window_ler,0.00390625,failures=2;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,oracle,20262716202,19,window_ler,0.00390625,failures=2;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,standard,20262716202,20,window_ler,0.0,failures=0;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,static,20262716202,20,window_ler,0.0,failures=0;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,window,20262716202,20,window_ler,0.0,failures=0;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,ewma,20262716202,20,window_ler,0.0,failures=0;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,kalman,20262716202,20,window_ler,0.0,failures=0;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,oracle,20262716202,20,window_ler,0.0,failures=0;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,standard,20262716202,21,window_ler,0.00390625,failures=2;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,static,20262716202,21,window_ler,0.00390625,failures=2;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,window,20262716202,21,window_ler,0.00390625,failures=2;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,ewma,20262716202,21,window_ler,0.00390625,failures=2;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,kalman,20262716202,21,window_ler,0.00390625,failures=2;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,oracle,20262716202,21,window_ler,0.001953125,failures=1;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,standard,20262716202,22,window_ler,0.0,failures=0;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,static,20262716202,22,window_ler,0.0,failures=0;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,window,20262716202,22,window_ler,0.0,failures=0;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,ewma,20262716202,22,window_ler,0.0,failures=0;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,kalman,20262716202,22,window_ler,0.0,failures=0;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,oracle,20262716202,22,window_ler,0.0,failures=0;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,standard,20262716202,23,window_ler,0.001953125,failures=1;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,static,20262716202,23,window_ler,0.001953125,failures=1;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,window,20262716202,23,window_ler,0.001953125,failures=1;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,ewma,20262716202,23,window_ler,0.001953125,failures=1;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,kalman,20262716202,23,window_ler,0.001953125,failures=1;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,oracle,20262716202,23,window_ler,0.001953125,failures=1;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,standard,20262716202,24,window_ler,0.0,failures=0;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,static,20262716202,24,window_ler,0.0,failures=0;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,window,20262716202,24,window_ler,0.001953125,failures=1;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,ewma,20262716202,24,window_ler,0.001953125,failures=1;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,kalman,20262716202,24,window_ler,0.001953125,failures=1;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,oracle,20262716202,24,window_ler,0.001953125,failures=1;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,standard,20262716202,25,window_ler,0.0,failures=0;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,static,20262716202,25,window_ler,0.0,failures=0;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,window,20262716202,25,window_ler,0.0,failures=0;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,ewma,20262716202,25,window_ler,0.0,failures=0;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,kalman,20262716202,25,window_ler,0.0,failures=0;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,oracle,20262716202,25,window_ler,0.0,failures=0;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,standard,20262716202,26,window_ler,0.001953125,failures=1;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,static,20262716202,26,window_ler,0.0,failures=0;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,window,20262716202,26,window_ler,0.0,failures=0;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,ewma,20262716202,26,window_ler,0.0,failures=0;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,kalman,20262716202,26,window_ler,0.0,failures=0;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,oracle,20262716202,26,window_ler,0.0,failures=0;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,standard,20262716202,27,window_ler,0.001953125,failures=1;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,static,20262716202,27,window_ler,0.001953125,failures=1;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,window,20262716202,27,window_ler,0.00390625,failures=2;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,ewma,20262716202,27,window_ler,0.00390625,failures=2;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,kalman,20262716202,27,window_ler,0.00390625,failures=2;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,oracle,20262716202,27,window_ler,0.00390625,failures=2;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,standard,20262716202,28,window_ler,0.001953125,failures=1;samples=512
decoder_window,decoder_syndrome_level_paired,static_gaussian,static,20262716202,28,window_ler,0.00390625,failures=2;samples=512
